uniq_id,product_name,manufacturer,price,number_available_in_stock
cf8cbdc12ebc3f75dc145f2b665b429b,20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,Generic,£2.98,6 NEW
dda2d6752683937a8c3cd338ccd034a7,Hornby 00 Gauge 247mm BR Gresley Teak Buffet Coach Model (Blue/ Grey),Hornby,£60.25,0 NEW
f4ca4da2c5a13cca69817062f48749b7,Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,Hornby,£129.95,3 NEW
146e3c266c7edb06ce8b8538a16e3aff,Hornby R3125 GWR 2-8-0T Class 52XX 00 Gauge Steam Locomotive,Hornby,£119.99,0 NEW
30cba4e49bcc047cd9d95f9e41105b11,Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,Hornby,£65.76,9 NEW
1db76877c1551b2c4f61ea6c9810922e,Graham Farish 374-807 BR Mk1 RFO Restaurant Car Crimson & Cream,Graham Farish,£26.50,0 NEW
931f3ee65f6548a4d4dbff820f6a93a4,30 Ton Bogie Bolster BR Grey With Steel Pipes,RAILWAY - BACHMANN,£29.99,0 NEW
f64ee770588c055e6119febff3824e9b,Hornby R3162A BR 2-BIL 2 Car EMU Pack,Hornby,£116.10,5 NEW
c8ff1e11a712e55ed0ef02d7c787b80b,Ratio 610 GWR 4 wheel 3rd class 5 compartment coach,Ratio,£11.00,0 NEW
60ca5f456176a27b44eef289edfc942e,Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,Hornby,£89.99,2 NEW
1e65ddc95b48bf211707ca91df150a88,Power Trains 2 Pack - Graffiti Freight,Power Trains,£8.99,3 NEW
5a56f5c490ca74ae48156a90eda82e34,Carousel Wooden Train Set (100 Piece),Carousel,£36.35,5 NEW
0ecb946acda4fd2a96e37d3293428aa0,Hornby Model Railway Railroad 0-4-0 Transatlanic Industries Train OO Gauge R3212,Hornby,£27.99,0 NEW
4b2029c25e531c56b61283ac2559791b,Piko 36165 35mm Metal Wheels (2 Axles),Piko,£20.00,0 NEW
780044f0f8212723081813f438ca0cee,Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,Hornby,£105.00,2 NEW
4f00afdf4311be7dbe982c4e7b7413cf,TRIX T23228,Trix,£27.40,0 NEW
29571c0aadc91e0bd66055fa5be5a344,Coal Imitation 00 Gauge,Peptim Scenics,£3.95,0 NEW
